x y
1284.3349660300917 614.9014363680975
1296.3942451084781 613.9798779747671
693.336518774323 710.0845237036078
1301.492064181724 602.7277459749988
690.3888527484945 709.1859554175329
1294.2782113887529 603.0854265790522
1297.771071114043 590.3908513760507
887.4046124843165 1499.6504456829184
694.2283607618194 709.977798637179
699.633019742935 699.6710749460798
1296.1630484082589 593.0211634550727
694.1919163457959 702.7126317334067
1307.8161558308416 594.7081975866065
900.7399733103374 1502.9187004113937
895.1103543054501 1501.360550653023
711.1147346483128 708.9718631553375
907.3011878683221 1501.4232715126848
716.876659596383 701.4713737020185
895.0948220004643 1479.909685750611
897.9681522631932 1511.4230438234913
1308.0966263621947 597.1632460600521
891.0676923260213 1502.7673383037338
683.2315675560768 695.5282402871028
1285.4120273786375 597.483484212701
706.70987428159 694.4658580974169
1299.879773847117 577.6885720008138
908.1552386700611 1507.1063732106104
901.9973523732125 1506.8609105391968
887.56273886669 1508.0800080755819
712.3377849346227 691.783237782769
